time position
13.1 -9050
13.133 -9050
13.167 -9052
13.2 -9054
13.233 -9066
13.267 -9062
13.433 -9052
13.467 -9053
13.5 -9047
13.533 -9058
13.567 -9043
13.6 -9049
13.633 -9056
13.667 -9052
13.7 -9039
13.733 -9037
13.767 -9055
13.8 -9061
13.833 -9051
13.867 -9035
13.9 -9056
13.933 -9057
13.967 -9048
14 -9054
14.033 -9045
14.067 -9045
14.1 -9043
14.133 -9045
14.167 -9073
14.2 -9052
14.233 -9046
14.267 -9055
14.3 -9060
14.333 -9049
14.367 -9046
14.4 -9063
14.433 -9064
14.467 -9048
14.5 -9073
14.533 -9027
14.567 -9040
14.6 -9050
14.633 -9043
14.667 -9047
14.7 -9055
14.733 -9039
14.767 -9048
14.8 -9044
14.833 -9045
14.867 -9049
14.9 -9005
14.933 -9018
14.967 -9017
15 -9013
15.033 -9007
15.067 -8994
15.1 -9023
15.133 -9023
15.167 -9008
15.2 -8997
15.233 -9010
15.267 -9017
15.3 -9012
15.333 -9020
15.367 -9013
15.4 -9016
15.433 -9016
15.467 -9008
15.5 -9013
15.533 -9019
15.567 -9007
15.6 -9017
15.633 -9006
15.667 -9008
15.7 -9020
15.733 -9006
15.767 -9016
15.8 -9008
15.833 -9006
15.867 -9000
15.9 -9004
15.933 -9002
15.967 -9028
16 -9019
16.033 -9011
16.067 -9038
16.1 -9013
16.133 -9011
16.167 -9020
16.2 -9017
16.233 -9031
16.267 -9036
16.3 -9034
16.333 -9017
16.367 -9019
16.4 -9015
16.433 -9020
16.467 -9010
16.5 -9008
16.533 -8989
16.567 -9007
16.6 -9006
16.633 -9010
16.667 -9011
16.7 -9000
16.733 -9001
16.767 -9017
16.8 -9011
16.833 -9008
16.867 -9011
16.9 -9016
16.933 -9010
16.967 -8997
17 -9021
17.033 -8998
17.067 -8994
17.1 -9017
17.133 -8997
17.167 -9019
17.2 -9009
17.233 -9012
17.267 -8998
17.3 -9026
17.333 -9007
17.367 -9010
17.4 -9003
17.433 -9003
17.467 -8996
17.5 -9021
17.533 -9024
17.567 -9018
17.6 -9000
17.633 -9010
17.667 -9019
17.7 -9012
17.733 -8995
17.767 -9012
17.8 -9010
17.833 -9011
17.867 -9000
17.9 -8990
17.933 -9002
17.967 -8992
18 -9004
18.033 -8989
18.067 -8993
18.1 -9000
18.133 -8975
18.167 -8973
18.2 -8975
18.233 -8959
18.267 -8962
18.3 -8977
18.333 -8968
18.367 -8972
18.4 -8977
18.433 -8967
18.467 -8966
18.5 -8982
18.533 -8957
18.567 -8967
18.6 -8986
18.633 -8963
18.667 -8969
18.7 -8969
18.733 -8962
18.767 -8971
18.8 -8960
18.833 -8980
18.867 -8972
18.9 -8972
18.933 -8967
18.967 -8977
19 -8968
19.033 -8970
19.067 -8976
19.1 -8972
19.133 -8981
19.167 -8980
19.2 -8985
19.233 -8982
19.267 -8976
19.3 -8967
19.333 -8945
19.367 -8937
19.4 -8919
19.433 -8953
19.467 -8931
19.5 -8929
19.533 -8955
19.567 -8934
19.6 -8953
19.633 -8954
19.667 -8947
19.7 -8951
19.733 -8944
19.767 -8951
19.8 -8938
19.833 -8932
19.867 -8930
19.9 -8963
19.933 -8944
19.967 -8922
20 -8924
20.033 -8945
20.067 -8941
20.1 -8939
20.133 -8931
20.167 -8936
20.3 -8954
20.333 -8928
20.367 -8947
20.4 -8944
20.433 -8954
20.467 -8948
20.5 -8937
20.533 -8938
20.567 -8936
20.6 -8950
20.633 -8931
20.667 -8917
20.7 -8921
20.733 -8902
20.767 -8897
20.8 -8899
20.833 -8905
20.867 -8900
20.9 -8903
20.933 -8908
20.967 -8897
21 -8894
21.033 -8899
21.067 -8895
21.1 -8890
21.133 -8891
21.167 -8895
21.2 -8891
21.233 -8894
21.267 -8895
21.3 -8897
21.333 -8893
21.367 -8899
21.4 -8897
21.433 -8899
21.467 -8899
21.5 -8891
21.533 -8890
21.567 -8900
21.6 -8892
21.633 -8890
21.667 -8899
21.7 -8896
21.733 -8892
21.767 -8907
21.8 -8898
21.833 -8904
21.867 -8894
21.9 -8903
21.933 -8895
21.967 -8899
22 -8904
22.067 -8889
22.1 -8894
22.133 -8902
22.167 -8890
22.2 -8909
22.233 -8909
22.267 -8890
22.3 -8910
22.333 -8891
22.367 -8905
22.4 -8915
22.433 -8896
22.467 -8899
22.5 -8912
22.533 -8897
22.567 -8898
22.6 -8892
22.633 -8896
22.667 -8894
22.7 -8903
22.733 -8896
22.767 -8898
22.8 -8885
22.833 -8894
22.867 -8889
22.9 -8892
22.933 -8896
22.967 -8886
23 -8898
23.033 -8901
23.067 -8899
23.1 -8896
23.133 -8890
23.167 -8883
23.2 -8892
23.233 -8889
23.267 -8899
