time position
13.1 -9025
13.167 -9031
13.3 -9040
13.333 -9032
13.4 -9045
13.5 -9035
13.533 -9053
13.567 -9038
13.6 -9056
13.7 -9039
13.867 -9028
13.933 -9055
13.967 -9041
14 -9044
14.133 -9013
14.2 -9034
14.233 -9034
14.3 -9073
14.433 -9047
14.533 -9019
14.567 -9014
14.6 -9018
14.667 -9024
14.733 -9005
14.767 -9022
14.8 -9017
14.833 -9018
14.867 -9018
14.9 -9009
14.933 -9020
14.967 -9017
15 -9019
15.033 -9012
15.067 -9010
15.133 -9015
15.167 -9025
15.2 -9012
15.233 -9048
15.267 -9074
15.3 -9065
15.333 -9047
15.367 -9033
15.4 -9031
15.433 -9068
15.5 -9066
15.533 -9087
15.567 -9064
15.6 -9069
15.633 -9060
15.667 -9050
15.7 -9038
15.733 -9036
15.767 -9020
15.8 -9015
15.833 -9040
15.867 -9030
15.9 -9016
15.933 -9010
15.967 -9028
16 -9010
16.033 -9023
16.067 -9018
16.133 -9041
16.167 -9009
16.233 -9014
16.267 -9019
16.333 -9021
16.367 -9012
16.4 -9026
16.433 -9015
16.467 -9018
16.5 -9005
16.533 -9016
16.567 -9018
16.6 -8983
16.633 -8982
16.667 -8975
16.7 -8971
16.733 -8971
16.767 -8961
16.833 -8968
16.867 -8973
16.9 -8976
16.933 -8969
16.967 -8976
17 -8971
17.033 -8963
17.067 -8973
17.1 -8980
17.133 -8977
17.167 -8989
17.2 -8982
17.3 -8990
17.333 -8984
17.4 -8963
17.433 -8968
17.467 -8976
17.5 -8972
17.6 -8992
17.633 -9031
17.667 -9025
17.7 -9011
17.733 -9008
17.767 -8989
17.8 -8962
17.833 -8953
17.867 -8969
17.9 -8956
17.933 -8968
17.967 -8963
18 -8975
18.033 -8971
18.067 -8967
18.133 -8959
18.167 -8974
18.2 -8959
18.233 -8968
18.267 -8962
18.3 -8962
18.333 -8967
18.4 -8977
18.433 -8953
18.467 -8970
18.5 -8967
18.567 -8968
18.6 -8962
18.633 -8961
18.667 -8979
18.7 -8970
18.733 -8971
18.767 -8972
18.8 -8956
18.833 -8956
18.867 -8975
18.9 -8928
18.933 -8930
18.967 -8923
19 -8930
19.033 -8924
19.067 -8924
19.1 -8928
19.167 -8936
19.2 -8947
19.233 -8945
19.267 -8922
19.433 -8920
19.467 -8923
19.5 -8924
19.533 -8926
19.567 -8927
19.6 -8947
19.633 -8937
19.7 -8919
19.733 -8927
19.767 -8947
19.8 -8941
19.833 -8952
19.867 -8932
19.9 -8944
19.933 -8923
19.967 -8942
20 -8937
20.033 -8923
20.067 -8941
20.1 -8934
20.133 -8929
20.167 -8926
20.2 -8922
20.267 -8936
20.3 -8927
20.333 -8942
20.367 -8936
20.4 -8931
20.433 -8934
20.467 -8935
20.5 -8934
20.533 -8933
20.567 -8926
20.733 -8922
20.767 -8930
20.8 -8932
20.833 -8920
20.867 -8925
20.9 -8923
20.933 -8886
20.967 -8868
21 -8884
21.033 -8881
21.067 -8889
21.1 -8874
21.133 -8895
21.167 -8910
21.2 -8888
21.233 -8910
21.267 -8891
21.3 -8902
21.333 -8896
21.367 -8899
21.4 -8891
21.433 -8889
21.5 -8884
21.533 -8887
21.567 -8875
21.6 -8880
21.633 -8899
21.667 -8935
21.7 -8921
21.733 -8931
21.767 -8911
21.8 -8919
21.833 -8921
21.867 -8910
21.9 -8933
21.933 -8919
21.967 -8923
22.033 -8915
22.067 -8926
22.1 -8925
22.133 -8929
22.167 -8922
22.2 -8937
22.433 -8909
22.467 -8932
22.5 -8931
22.567 -8868
22.6 -8880
22.633 -8861
22.667 -8873
22.7 -8878
22.733 -8905
22.867 -8931
22.9 -8927
22.933 -8913
22.967 -8902
23 -8895
23.033 -8881
23.067 -8869
23.1 -8877
23.133 -8875
23.167 -8876
23.2 -8894
23.233 -8878
23.267 -8879
23.3 -8892
23.333 -8877
23.4 -8883
23.433 -8891
23.467 -8884
23.5 -8876
23.533 -8878
23.567 -8886
23.6 -8890
23.633 -8891
23.667 -8875
23.7 -8871
23.767 -8879
23.833 -8878
23.867 -8901
23.9 -8872
23.933 -8887
23.967 -8870
24 -8881
24.033 -8879
24.067 -8880
24.1 -8878
24.133 -8874
24.167 -8889
24.2 -8879
24.233 -8891
24.267 -8878
24.3 -8887
24.333 -8894
24.367 -8909
24.4 -8912
24.433 -8899
24.467 -8877
24.5 -8899
24.533 -8880
24.567 -8893
24.6 -8869
24.633 -8879
24.667 -8875
24.7 -8882
24.733 -8880
24.767 -8891
24.8 -8870
24.833 -8891
24.867 -8886
24.9 -8881
24.933 -8869
24.967 -8875
25 -8876
25.033 -8876
25.067 -8871
25.1 -8877
25.133 -8878
25.167 -8906
25.2 -8887
25.233 -8874
25.267 -8886
25.3 -8872
25.333 -8879
25.367 -8871
25.4 -8883
25.433 -8882
25.467 -8883
25.5 -8892
25.533 -8878
25.567 -8870
25.6 -8871
25.633 -8881
25.667 -8881
25.7 -8890
25.733 -8872
25.767 -8879
25.8 -8877
25.833 -8884
25.867 -8879
25.9 -8868
25.933 -8880
25.967 -8880
26 -8885
26.033 -8883
26.067 -8871
26.1 -8879
26.133 -8873
26.167 -8887
26.2 -8881
26.233 -8880
26.267 -8863
26.3 -8885
26.333 -8880
26.367 -8883
26.4 -8877
26.433 -8881
26.467 -8873
26.5 -8882
26.533 -8883
26.567 -8866
26.6 -8885
26.633 -8891
26.7 -8891
26.733 -8890
26.767 -8877
26.833 -8911
26.867 -8886
26.9 -8893
26.933 -8892
26.967 -8881
27 -8904
27.033 -8909
27.067 -8892
27.1 -8892
27.133 -8868
27.2 -8875
27.233 -8874
27.267 -8866
27.3 -8873
27.333 -8878
27.367 -8858
27.4 -8872
27.433 -8860
27.567 -8848
27.6 -8857
27.633 -8860
27.733 -8865
27.767 -8868
27.8 -8851
27.833 -8861
27.867 -8860
27.9 -8860
27.933 -8878
27.967 -8863
28 -8864
28.033 -8874
28.067 -8853
28.1 -8879
28.167 -8853
28.233 -8850
28.267 -8861
28.3 -8866
28.333 -8861
28.367 -8864
28.4 -8889
28.433 -8899
28.467 -8886
28.5 -8882
28.533 -8876
28.567 -8879
28.6 -8890
28.633 -8904
28.667 -8889
28.7 -8888
28.733 -8882
28.767 -8887
28.8 -8888
28.833 -8890
28.867 -8878
28.9 -8870
28.933 -8879
28.967 -8883
29 -8872
29.067 -8849
29.1 -8874
29.133 -8897
29.167 -8881
29.2 -8892
29.233 -8886
29.267 -8877
29.3 -8873
29.333 -8843
29.367 -8856
29.4 -8857
29.433 -8848
29.467 -8857
29.5 -8857
29.533 -8854
29.567 -8852
29.633 -8852
29.7 -8850
29.733 -8853
29.767 -8848
29.8 -8863
29.833 -8856
29.933 -8855
29.967 -8859
30 -8849
30.033 -8844
30.1 -8856
30.133 -8852
30.167 -8863
30.2 -8834
30.233 -8843
30.267 -8856
30.3 -8865
30.333 -8853
30.367 -8850
30.4 -8847
30.433 -8837
30.467 -8850
30.533 -8853
30.567 -8843
30.6 -8847
30.633 -8841
30.667 -8853
30.7 -8848
30.733 -8846
30.767 -8837
30.8 -8865
30.833 -8884
30.867 -8847
30.9 -8844
30.933 -8844
30.967 -8847
31 -8855
31.033 -8847
31.067 -8855
31.133 -8841
31.167 -8841
31.2 -8850
31.267 -8840
31.3 -8839
31.333 -8852
31.367 -8850
31.4 -8846
31.433 -8847
31.467 -8873
31.5 -8873
31.533 -8852
31.567 -8853
31.6 -8872
31.667 -8892
31.7 -8896
31.733 -8891
31.767 -8891
31.8 -8872
31.833 -8895
31.867 -8891
31.9 -8889
31.933 -8873
31.967 -8894
32 -8897
32.033 -8881
32.067 -8892
32.1 -8893
32.167 -8898
32.2 -8907
32.233 -8898
32.267 -8905
32.3 -8898
32.333 -8898
32.4 -8847
32.433 -8894
32.467 -8914
32.5 -8910
32.533 -8889
32.567 -8856
32.633 -8846
32.667 -8837
32.7 -8836
32.733 -8840
32.767 -8853
32.833 -8860
32.867 -8863
32.9 -8860
33 -8853
33.033 -8861
33.067 -8854
33.1 -8855
33.133 -8855
33.167 -8848
33.2 -8842
33.233 -8849
33.267 -8837
33.3 -8861
