writing to  sigma_00.1000/initial_guess.pkl
optimisation finished successfully after 448 iterations, 603 evaluations
optimisation finished successfully after 1076 iterations, 1441 evaluations
optimisation finished successfully after 2019 iterations, 2698 evaluations
optimisation finished successfully after 909 iterations, 1198 evaluations
optimisation finished successfully after 255 iterations, 360 evaluations
optimisation finished successfully after 789 iterations, 1026 evaluations
optimisation finished successfully after 447 iterations, 612 evaluations
optimisation finished successfully after 246 iterations, 353 evaluations
optimisation finished successfully after 1219 iterations, 1626 evaluations
optimisation finished successfully after 746 iterations, 1008 evaluations
optimisation finished successfully after 35 iterations, 75 evaluations
optimisation finished successfully after 508 iterations, 699 evaluations
optimisation finished successfully after 275 iterations, 393 evaluations
optimisation finished successfully after 39 iterations, 80 evaluations
optimisation finished successfully after 332 iterations, 461 evaluations
optimisation finished successfully after 48 iterations, 97 evaluations
optimisation finished successfully after 70 iterations, 111 evaluations
optimisation finished successfully after 393 iterations, 543 evaluations
optimisation finished successfully after 156 iterations, 227 evaluations
optimisation finished successfully after 38 iterations, 74 evaluations
optimisation finished successfully after 28 iterations, 61 evaluations
optimisation finished successfully after 119 iterations, 178 evaluations
optimisation finished successfully after 98 iterations, 149 evaluations
optimisation finished successfully after 100 iterations, 159 evaluations
optimisation finished successfully after 96 iterations, 148 evaluations
optimisation finished successfully after 1228 iterations, 1621 evaluations
optimisation finished successfully after 40 iterations, 66 evaluations
optimisation finished successfully after 63 iterations, 103 evaluations
optimisation finished successfully after 34 iterations, 78 evaluations
optimisation finished successfully after 410 iterations, 542 evaluations
optimisation finished successfully after 48 iterations, 91 evaluations
optimisation finished successfully after 37 iterations, 81 evaluations
optimisation finished successfully after 79 iterations, 131 evaluations
optimisation finished successfully after 26 iterations, 60 evaluations
optimisation finished successfully after 11 iterations, 30 evaluations
optimisation finished successfully after 282 iterations, 391 evaluations
optimisation finished successfully after 37 iterations, 78 evaluations
optimisation finished successfully after 36 iterations, 80 evaluations
optimisation finished successfully after 56 iterations, 106 evaluations
optimisation finished successfully after 135 iterations, 219 evaluations
optimisation finished successfully after 767 iterations, 1035 evaluations
optimisation finished successfully after 51 iterations, 102 evaluations
optimisation finished successfully after 22 iterations, 53 evaluations
optimisation finished successfully after 35 iterations, 71 evaluations
optimisation finished successfully after 68 iterations, 127 evaluations
optimisation finished successfully after 68 iterations, 120 evaluations
optimisation finished successfully after 40 iterations, 83 evaluations
optimisation finished successfully after 61 iterations, 109 evaluations
optimisation finished successfully after 30 iterations, 67 evaluations
optimisation finished successfully after 40 iterations, 82 evaluations
optimisation finished successfully after 49 iterations, 97 evaluations
optimisation finished successfully after 23 iterations, 55 evaluations
optimisation finished successfully after 44 iterations, 86 evaluations
optimisation finished successfully after 38 iterations, 80 evaluations
optimisation finished successfully after 39 iterations, 70 evaluations
optimisation finished successfully after 22 iterations, 48 evaluations
optimisation finished successfully after 23 iterations, 44 evaluations
optimisation finished successfully after 71 iterations, 116 evaluations
optimisation finished successfully after 166 iterations, 251 evaluations
optimisation finished successfully after 15 iterations, 37 evaluations
optimisation finished successfully after 174 iterations, 259 evaluations
optimisation finished successfully after 123 iterations, 190 evaluations
optimisation finished successfully after 28 iterations, 59 evaluations
optimisation finished successfully after 96 iterations, 152 evaluations
optimisation finished successfully after 16 iterations, 41 evaluations
optimisation finished successfully after 77 iterations, 124 evaluations
optimisation finished successfully after 23 iterations, 50 evaluations
optimisation finished successfully after 103 iterations, 163 evaluations
optimisation finished successfully after 35 iterations, 64 evaluations
optimisation finished successfully after 54 iterations, 94 evaluations
optimisation finished successfully after 28 iterations, 58 evaluations
optimisation finished successfully after 49 iterations, 86 evaluations
optimisation finished successfully after 17 iterations, 38 evaluations
optimisation finished successfully after 56 iterations, 96 evaluations
optimisation finished successfully after 37 iterations, 66 evaluations
optimisation finished successfully after 26 iterations, 56 evaluations
optimisation finished successfully after 169 iterations, 241 evaluations
optimisation finished successfully after 44 iterations, 78 evaluations
optimisation finished successfully after 51 iterations, 89 evaluations
optimisation finished successfully after 59 iterations, 101 evaluations
optimisation finished successfully after 67 iterations, 109 evaluations
optimisation finished successfully after 107 iterations, 166 evaluations
optimisation finished successfully after 43 iterations, 81 evaluations
optimisation finished successfully after 37 iterations, 69 evaluations
optimisation finished successfully after 18 iterations, 43 evaluations
optimisation finished successfully after 25 iterations, 56 evaluations
optimisation finished successfully after 42 iterations, 79 evaluations
optimisation finished successfully after 39 iterations, 77 evaluations
optimisation finished successfully after 58 iterations, 103 evaluations
optimisation finished successfully after 43 iterations, 82 evaluations
optimisation finished successfully after 29 iterations, 63 evaluations
optimisation finished successfully after 125 iterations, 196 evaluations
optimisation finished successfully after 119 iterations, 190 evaluations
optimisation finished successfully after 264 iterations, 374 evaluations
optimisation finished successfully after 131 iterations, 204 evaluations
optimisation finished successfully after 28 iterations, 59 evaluations
optimisation finished successfully after 32 iterations, 66 evaluations
optimisation finished successfully after 22 iterations, 47 evaluations
optimisation finished successfully after 19 iterations, 42 evaluations
optimisation finished successfully after 57 iterations, 96 evaluations
optimisation finished successfully after 38 iterations, 70 evaluations
optimisation finished successfully after 45 iterations, 79 evaluations
optimisation finished successfully after 35 iterations, 67 evaluations
optimisation finished successfully after 19 iterations, 45 evaluations
optimisation finished successfully after 107 iterations, 173 evaluations
optimisation finished successfully after 27 iterations, 60 evaluations
optimisation finished successfully after 146 iterations, 226 evaluations
optimisation finished successfully after 60 iterations, 100 evaluations
optimisation finished successfully after 21 iterations, 50 evaluations
optimisation finished successfully after 48 iterations, 87 evaluations
optimisation finished successfully after 24 iterations, 52 evaluations
optimisation finished successfully after 48 iterations, 83 evaluations
optimisation finished successfully after 63 iterations, 106 evaluations
optimisation finished successfully after 52 iterations, 88 evaluations
optimisation finished successfully after 82 iterations, 134 evaluations
optimisation finished successfully after 30 iterations, 61 evaluations
optimisation finished successfully after 89 iterations, 145 evaluations
optimisation finished successfully after 36 iterations, 69 evaluations
optimisation finished successfully after 42 iterations, 80 evaluations
