writing to  angle_sigma_00.5236/initial_guess.pkl
optimisation finished successfully after 559 iterations, 744 evaluations
optimisation finished successfully after 416 iterations, 582 evaluations
optimisation finished successfully after 489 iterations, 660 evaluations
optimisation finished successfully after 347 iterations, 487 evaluations
optimisation finished successfully after 29 iterations, 59 evaluations
optimisation finished successfully after 917 iterations, 1227 evaluations
optimisation finished successfully after 429 iterations, 593 evaluations
optimisation finished successfully after 548 iterations, 738 evaluations
optimisation finished successfully after 595 iterations, 795 evaluations
optimisation finished successfully after 286 iterations, 412 evaluations
optimisation finished successfully after 1544 iterations, 2039 evaluations
optimisation finished successfully after 516 iterations, 737 evaluations
optimisation finished successfully after 322 iterations, 448 evaluations
optimisation finished successfully after 287 iterations, 395 evaluations
optimisation finished successfully after 271 iterations, 381 evaluations
optimisation finished successfully after 62 iterations, 112 evaluations
optimisation finished successfully after 248 iterations, 354 evaluations
optimisation finished successfully after 243 iterations, 346 evaluations
optimisation finished successfully after 184 iterations, 272 evaluations
optimisation finished successfully after 481 iterations, 661 evaluations
optimisation finished successfully after 1575 iterations, 2109 evaluations
optimisation finished successfully after 100 iterations, 157 evaluations
optimisation finished successfully after 519 iterations, 700 evaluations
optimisation finished successfully after 1339 iterations, 1780 evaluations
optimisation finished successfully after 1253 iterations, 1664 evaluations
optimisation finished successfully after 387 iterations, 523 evaluations
optimisation finished successfully after 508 iterations, 695 evaluations
optimisation finished successfully after 144 iterations, 236 evaluations
optimisation finished successfully after 205 iterations, 298 evaluations
optimisation finished successfully after 133 iterations, 213 evaluations
optimisation finished successfully after 104 iterations, 175 evaluations
optimisation finished successfully after 62 iterations, 111 evaluations
optimisation finished successfully after 53 iterations, 99 evaluations
optimisation finished successfully after 108 iterations, 166 evaluations
optimisation finished successfully after 65 iterations, 122 evaluations
optimisation finished successfully after 950 iterations, 1279 evaluations
optimisation finished successfully after 189 iterations, 293 evaluations
optimisation finished successfully after 412 iterations, 566 evaluations
optimisation finished successfully after 195 iterations, 296 evaluations
optimisation finished successfully after 1094 iterations, 1488 evaluations
optimisation finished successfully after 526 iterations, 713 evaluations
optimisation finished successfully after 144 iterations, 229 evaluations
optimisation finished successfully after 52 iterations, 101 evaluations
optimisation finished successfully after 165 iterations, 243 evaluations
optimisation finished successfully after 87 iterations, 144 evaluations
optimisation finished successfully after 295 iterations, 422 evaluations
optimisation finished successfully after 95 iterations, 153 evaluations
optimisation finished successfully after 51 iterations, 102 evaluations
optimisation finished successfully after 381 iterations, 540 evaluations
optimisation finished successfully after 84 iterations, 133 evaluations
optimisation finished successfully after 79 iterations, 138 evaluations
optimisation finished successfully after 18 iterations, 43 evaluations
optimisation finished successfully after 185 iterations, 286 evaluations
optimisation finished successfully after 53 iterations, 99 evaluations
optimisation finished successfully after 112 iterations, 172 evaluations
optimisation finished successfully after 178 iterations, 257 evaluations
optimisation finished successfully after 15 iterations, 35 evaluations
optimisation finished successfully after 129 iterations, 192 evaluations
optimisation finished successfully after 384 iterations, 535 evaluations
optimisation finished successfully after 138 iterations, 219 evaluations
optimisation finished successfully after 983 iterations, 1321 evaluations
optimisation finished successfully after 53 iterations, 101 evaluations
optimisation finished successfully after 30 iterations, 69 evaluations
optimisation finished successfully after 48 iterations, 88 evaluations
optimisation finished successfully after 224 iterations, 329 evaluations
