"ID","Name","Image","Rank","Alignment","Life","Stamina","Morale","Attack","Counterattack","Speed","Defence","Ranged defence","Resistance","Ranged attack","Shooting range","Ammo","Experience","Experience modifier","Gold payment","Crystal payment","Payment","Gold price","Crystal price","Price","Trophies","Type","Class","Resources","Castle unit","Can be retrained from","Can be retrained to","Similar units","Unit at a certain level","Ways to get","Reborn in","Abilities","Description"
"1","Militiaman","","1","Neutral","17","10","9","5","5","2","0","0","0","0","0","0","10","35","2","0","2","13","0","13","Trophies","Mortal, Human","Infantry","","yes","","Slinger (at level 2), Spearman (at level 3), Brigand (at level 4), Thief (at level 5), Barbarian (at level 6), Bowman (at level 7), Healer (at level 8), Shaman (at level 9), Crossbowman (at level 10), Pikeman (at level 11), Swordsman (at level 12), Workman (at level 13)","Workman","0, 10, 20, 30, 100","Recruiting Station (building)","","Level 1:  						Hit Points +1 x3,  						Stamina +1 x2,  						Morale +2 x3,  						Counterattack +1 x7 				Level 2:  						Resistance +1 x2,  						Become Slinger 				Level 3:  						Hit Points +2 x7,  						Become a Spearman 				Level 4:  						Attack +1 x4,  						Ranged Defense +1 x2,  						Become Brigand 				Level 5:  						Health +1 x3,  						Defense +1 x2,  						Recuperation +1 x5,  						Become Thief,  						Fix 				Level 6:  						Workaholic +10 x3,  						Become Barbarian 				Level 7:  						First Aid +1 x3,  						Become Bowman 				Level 8:  						Forced March,  						Become Healer 				Level 9:  						Become Shaman,  						Fix +1 x3 				Level 10:  						Become Crossbowman 				Level 11:  						Stunning Blow +1,  						Become Pikeman 				Level 12:  						Become Swordsman 				Level 13:  						Become Workman 				Level 14:  						Ammo +1 x2 				Level 15:  						Ammo Bearer 				Level 20:  						Hit Points +3,  						Resistance +2","Its low price is the main, and in fact the only advantage of this unit type. Former peasants, militiamen are neither well-equipped nor combat-trained. However, they are a perfect human shield to protect more valuable units with. Necromancers and demonologists eagerly accept militiamen into their ranks. Why? Ask them yourself. Another advantage of the militia is their versatility. Just like a piece of clay, you can mold a container of any shape and fill it with any content, and a volunteer can be molded into almost any kind of warrior. The main thing is to keep him alive long enough. Militiamen are also used to dealing with poorly made tools and tend to become skillful repairers, whose main task it is to repair and maintain military equipment."
"2","Slinger","","1","Neutral","10","10","10","3","3","2","0","0","1","4","4","8","12","60","4","0","4","20","0","20","Trophies","Mortal, Human","Ranged","","yes","Militiaman (at level 2)","Veteran Slinger (at level 13)","Veteran Slinger","0, 10, 20, 30, 100","Slinger School (building)","","Level 0:  						Collect Ammo,  						Stunning Shot +1 x4 				Level 1:  						Hit Points +1 x5,  						Stamina +1 x4,  						Ammo +1 x4,  						Counterattack +1 x4 				Level 2:  						Morale +2 x3,  						Recuperation +1 x3 				Level 3:  						Ranged Attack +1 x5 				Level 4:  						Resistance +1 x3,  						Defense +1 x2 				Level 5:  						Attack +1 x2 				Level 6:  						Ranged Defense +1 x2 				Level 12:  						Hit Points +2 x3 				Level 14:  						Range +1 				Level 17:  						Stamina +2 				Level 19:  						Health +1","Slingers are by far the cheapest ranged units. Outfitting and feeding them doesn't cost much. Often slingers are recruited from among young peasants and hastily taught how to handle the sling. All they need is some natural agility and a steady eye. The rest comes with experience. Although slingers can't claim outstanding shooting strength and range, they are especially valuable in a protracted battle, as they never run out of ammunition. A slinger can use any stone picked up from the ground as a missile, if it comes down to that. If a slinger uses special armor-piercing ammo however, these cannot be replenished. The best warriors have a chance to be transferred to an elite squad."
"3","Spearman","","1","Neutral","18","10","10","6","7","2","2","2","1","6","2","1","15","40","5","0","5","25","0","25","Trophies","Mortal, Human","Infantry","","yes","Militiaman (at level 3)","Veteran Spearman (at level 16)","Veteran Spearman","0, 10, 20, 30, 100","Spearman School (building)","","Level 0:  						Heavy Ammo (3) 				Level 1:  						Hit Points +1 x5,  						Morale +2 x3,  						Stamina +1 x5 				Level 2:  						Forced March,  						Ranged Attack +1 x3 				Level 3:  						Counterattack +1 x5,  						Resistance +1 x2 				Level 4:  						Attack +1 x4 				Level 5:  						Ranged Defense +1 x3 				Level 6:  						Defense +1 x3 				Level 7:  						Ammo +1 x3 				Level 9:  						Crippling Shot (2) 				Level 10:  						Stamina +2 x3,  						Range +1 				Level 11:  						Hit Points +2 x5 				Level 14:  						Ranged Attack +2 x2 				Level 15:  						Crippling Shot +1 				Level 16:  						Health +1 x2,  						Willpower +1 				Level 19:  						Willpower +2 				Level 20:  						Health +2,  						Strength +1","Spearmen are a typical example of light infantry. Vested in light yet sturdy leather armor, spearmen are able to move around the battlefield much faster than iron-clad warriors. The throwing javelins they typically use before engaging in melee are another of their advantages over heavy infantrymen. The javelin is rather heavy, so even if the enemy manages to stop its jagged head with a shield, the impact will weaken his defense. The best warriors have a chance to be transferred to an elite squad."
"4","Bowman","","1","Neutral","10","10","10","3","4","2","0","0","1","5","5","7","18","80","10","0","10","50","0","50","Trophies","Mortal, Human","Ranged","","yes","Militiaman (at level 7)","Ranger (at level 17)","Ranger, Renegade","0, 10, 20, 30, 100","Shooting Ground (building)","","Level 0:  						Precise Shot +1 x4 				Level 1:  						Hit Points +1 x7,  						Morale +2 x4,  						Ammo +1 x4,  						Stamina +1 x8 				Level 2:  						Counterattack +1 x3,  						Forager x3 				Level 3:  						Ranged Attack +1 x4 				Level 4:  						Attack +1 x3 				Level 5:  						Ranged Defense +1 x3,  						Double Shot 				Level 6:  						Defense +1 x2 				Level 8:  						Resistance +1 x3 				Level 14:  						Range +1 				Level 15:  						Hit Points +2 x2 				Level 16:  						Stamina +2 x3,  						Ammo +2 				Level 19:  						Hit Points +3,  						Ranged Attack +2","Professional bowmen are expensive warriors, but they are well worth their price. Bowmen strike the enemy at a great distance, weakening hostile infantry before the melee. An even more important duty the bowmen are well-suited for is eliminating enemy spellcasters. It's essential not to let the enemy warriors approach your bowmen, as they are rather weak in melee combat. The best warriors have a chance to be transferred to an elite squad."
"5","Swordsman","","1","Lawful","17","10","10","8","8","1","3","5","1","0","0","0","20","90","11","0","11","55","0","55","Trophies","Mortal, Human","Infantry","","yes","Militiaman (at level 12)","Ironclad (at level 19)","Ironclad","0, 10, 20, 30, 100","Swordsman School (building)","","Level 0:  						Evasion Strategy,  						Parry (3),  						Keep Running! 				Level 1:  						Hit Points +1 x5,  						Attack +1 x3,  						Morale +2 x2,  						Ranged Defense +1 x3 				Level 2:  						Stamina +1 x4,  						Counterattack +1 x3,  						Forced March 				Level 3:  						Defense +1 x3,  						Shield Bash (2) 				Level 4:  						Resistance +1 x2 				Level 5:  						Parry +2 x3 				Level 8:  						Shield Wall 3 				Level 9:  						Morale +3 x3 				Level 10:  						Stamina +2 x4,  						Shield Bash +1 				Level 11:  						Health +1 x3 				Level 12:  						Attack +2 x2 				Level 13:  						Hit Points +2 x2,  						Shield Wall +1 x2 				Level 14:  						Strength +1 x2,  						Armor +1 x2 				Level 15:  						Willpower +1 x2,  						Ranged Defense +2 x2 				Level 16:  						Counterattack +2 				Level 18:  						Stamina +3 x2","These heavy infantrymen are equally suited for both attack and defense. A large shield provides cover against enemy arrows and long drills and constant training have taught them iron discipline. Each swordsman is an expert with his weapon, equally able to use his blade for attacking and for parrying enemy blows. And even if the blade is small, a swordsman is able to use it for full defense. The best warriors have a chance to be transferred to an elite squad."
"6","Pikeman","","1","Lawful","18","10","10","5","10","1","4","3","1","0","0","0","20","85","9","0","9","45","0","45","Trophies","Mortal, Human","Infantry","","yes","Militiaman (at level 11)","Sentinel (at level 17)","Sentinel","0, 10, 20, 30, 100","Pikeman School (building)","","Level 0:  						First Strike,  						Recuperation +1 x2,  						First Aid +1 x2,  						Evasion Strategy,  						Keep Running! 				Level 1:  						Hit Points +1 x3,  						Attack +1 x5,  						Morale +2 x2,  						Stamina +1 x4 				Level 2:  						Counterattack +1 x4,  						Defense +1 x4 				Level 3:  						Ranged Defense +1 x3 				Level 4:  						Forced March 				Level 5:  						Resistance +1 x3 				Level 6:  						Pike Wall 				Level 7:  						Hit Points +2 x3,  						Agility 				Level 8:  						Stamina +2 x4,  						Armorpiercing Strike 				Level 11:  						Morale +3 x3 				Level 12:  						Counterattack +2 x3,  						Damage Armor 				Level 13:  						Hit Points +3 x3 				Level 16:  						Health +1,  						Attack +2 				Level 17:  						Willpower +1,  						Armor +1 				Level 18:  						Stamina +3 				Level 19:  						Health +2 x2 				Level 20:  						Strength +1","Pikemen are perfect for holding ground. Clad in sturdy chainmail armor and armed with a long pike, these heavy infantrymen are definitely not easy prey. Their long weapons allow the pikemen to strike before the enemy gets close. Experienced pikemen are able to stop a cavalry charge by skillfully using against it the weight of the horse hurtling at full speed. The best warriors have a chance to be transferred to an elite squad."
"7","Crossbowman","","1","Lawful","12","10","10","5","5","1","3","2","1","5","4","6","23","90","12","0","12","60","0","60","Trophies","Mortal, Human","Ranged","","yes","Militiaman (at level 10)","Sniper (at level 18)","Sniper","0, 10, 20, 30, 100","Crossbowman School (building)","","Level 0:  						Armor Piercing Shot 				Level 1:  						Hit Points +1 x5,  						Ranged Attack +1 x3,  						Resistance +1 x4,  						Ammo +1 x4,  						Forced March x2 				Level 2:  						Stamina +1 x6,  						Defense +1 x3 				Level 3:  						Morale +2 x3,  						Counterattack +1 x4 				Level 4:  						Ranged Defense +1 x3 				Level 6:  						Attack +1 x3 				Level 8:  						Ranged Attack +2 x5 				Level 11:  						Hit Points +2 x5 				Level 13:  						Range +1 				Level 14:  						Stamina +2 x2 				Level 15:  						Morale +3 				Level 16:  						Strength +1 				Level 17:  						Willpower +1 x2 				Level 18:  						Health +1 x2 				Level 20:  						Armor +1","Crossbowmen are a deadly force in combat. Although the effective range of their weapon is less than that of a bow, its killing power is much greater. A crossbow shot is so deadly that no armor can fully protect against it. Since crossbowmen shoot from a relatively short range, they are equipped with strong armor and taught to handle a sword. When needed, these ranged units can hold their own in melee combat. Their only disadvantage is that heavy armor makes crossbowmen less mobile than other ranged units. The best warriors have a chance to be transferred to an elite squad."
"8","Healer","","1","Good","10","10","10","3","4","2","0","0","4","0","1","5","18","70","6","1","14","30","5","70","Trophies","Mortal, Human","Spellcaster","","yes","Militiaman (at level 8)","Grand Healer (at level 21)","Grand Healer","0, 10, 20, 30, 100","Brotherhood of Light (building), Wolf Thicket (site)","","Level 0:  						Healing (4) 				Level 1:  						Hit Points +1 x6,  						Morale +2 x4,  						Resistance +1 x5,  						First Aid +1 x5 				Level 2:  						Stamina +1 x6,  						Counterattack +1 x3 				Level 3:  						Healing +1 x6 				Level 4:  						Ranged Defense +1 x3 				Level 5:  						Ammo +1 x3 				Level 7:  						Attack +1,  						Meditation +1 				Level 8:  						Defense +1 x4 				Level 13:  						Hit Points +2 x4 				Level 14:  						Stamina +2 x2 				Level 15:  						Morale +3 				Level 17:  						Willpower +1 x2 				Level 18:  						Health +1 x2","Combat isn't just about winning. It's about winning with minimal casualties. For this reason, most armies need healers. Virtually useless in melee combat, healers can treat the warriors' wounds with their magical potions and elixirs. The best warriors have a chance to be transferred to an elite squad."
"9","Barbarian","","1","Unscrupulous","20","12","10","9","4","2","1","2","0","5","2","1","20","65","5","0","5","25","0","25","Trophies","Mortal, Human","Infantry","","yes","Militiaman (at level 6)","Berserker (at level 15)","Berserker","0, 10, 20, 30, 100","Barbarian Camp (building)","","Level 0:  						Battle Frenzy +2 				Level 1:  						Hit Points +1,  						Morale +2 x3,  						Battle Frenzy +1 x10,  						Stamina +1 x4 				Level 2:  						Ranged Attack +1 x3,  						Attack +1 x4 				Level 3:  						Hit Points +2 x5,  						Bloodlust +1 x2 				Level 4:  						Defense +1 x3,  						Counterattack +1 x2 				Level 5:  						Damage Armor 				Level 8:  						Stamina +2 x4 				Level 11:  						Ammo +1 x2 				Level 12:  						Ranged Defense +1 				Level 13:  						Hit Points +3 x3,  						Morale +3 x3 				Level 14:  						Ranged Attack +2 x3 				Level 16:  						Health +1,  						Strength +1 				Level 18:  						Stamina +3 x2 				Level 19:  						Health +2 				Level 20:  						Strength +2","Barbarians can be found on virtually any inhabited shard. Some consider them barbarized descendants of an ancient civilization, others think they're mere savages who never knew any law other than the law of brute force. The art of killing is by far the only art that these barbarians have mastered. Furious barbarian hordes inhabiting wide valleys and moors are a force to be reckoned with for any Master. If left unattended, barbarians will sow death and devastation among your people. If subdued, they will sow death and devastation among your enemies. In combat, barbarians are able to fall into a berserker rage, crushing enemies with extraordinary force and neglecting their own wounds. The best warriors have a chance to be transferred to an elite squad."
"10","Thief","","1","Evil","14","10","7","7","4","2","1","0","0","5","2","3","20","55","3","0","3","15","0","15","Trophies","Mortal, Human","Infantry","","yes","Militiaman (at level 5)","Bandit (at level 9)","Bandit","0, 10, 20, 30, 100","Den of Thieves (building), #1443 (event), Thieves Guild (site)","","Level 0:  						Agility,  						Marauder 15,  						Dodge +1 x5,  						Backstab +2 x3,  						Parry +1 x3 				Level 1:  						Hit Points +1 x5,  						Ammo +1 x3,  						Attack +1 x5,  						Steal Ammo,  						Marauder -5 x3 				Level 2:  						Stamina +1 x6,  						Ranged Attack +1 x5,  						Defense +1 x4,  						Backstab +1 x2 				Level 3:  						Counterattack +1 x3,  						Poison Attack +1 x4 				Level 4:  						Resistance +1 x3,  						Dagger Master x3 				Level 5:  						Ranged Defense +1 x3,  						Poison Shot +1 x4 				Level 6:  						Morale +2 x2 				Level 9:  						Steal Ammo +2 				Level 10:  						Speed +1 				Level 11:  						Hit Points +2 x5,  						Range +1 				Level 14:  						Stamina +2 x3 				Level 16:  						Scavenger +10,  						Mobility 				Level 19:  						Parry +2 				Level 20:  						Health +1","They are often called the scum of the criminal world, for no normal thief would ever join the army. For the most part, the thieves joining military units have violated the codes of the Thieves Guild and are trying to avoid being killed by their former colleagues. The unlucky ones who never learned their trade but mastered the skill of knife fighting often conscript as well. Their low cost is one of the thieves' main advantages. No one would ever pay big wages to an unfortunate thief. However, the greedy looters aren't too upset about this. The rascals hope to snatch their share by stashing away a good part of the war trophies. They are not always eager to put their hands on the spoils when it's very conspicuous, because they might lose them along with their head - when he's afraid of his commander, for example, he will be very cautious, and will restrain his greed. A thief's morale is usually very low. They tend to flee at any sign of danger. Their agility is commendable though. Thieves try to sneak up on their enemies, to avoid being attacked in return. Thieves don't particularly enjoy melee combat. Give them a set of throwing knives, and they will happily attack the enemy from a relatively safe distance. The best warriors have a chance to be transferred to an elite squad."
